composer,genre,lyricist,singer,song,songName
Rookantha Gunathilaka,New Pop,Rookantha Gunathilaka,Milton Mallawarachchi,,Oba Gawa Mama Innemi- ඔබ ගාව මම ඉන්නෙමි
Sarath Dasanayaka,Old Pops,Chithrananda Abeysekara,Milton Mallawarachchi,,Oba Den Keewath – ඔබ දැන් කීවත්
Sarath Dasanayaka,Movie Songs,Karunarathna Abeysekara,Milton Mallawarachchi,,Nilla Nagana – නිල්ල නගන
Sarath Dasanayaka,Movie Songs,Karunarathna Abeysekara,Angelin Gunathilaka,,Miyuru Pem Madirawe – මියුරු පෙම් මදිරාවේ
Milroy Dharmarathna,Old Pops,Ajantha Ranasinghe,Milton Mallawarachchi,,Me Meyi Gaha Yata – මේ මැයි ගහ යට
Greshan Ananda,Old Pops,Greshan Ananda,Milton Mallawarachchi,,Mage Punchi Kumari – මගේ පුංචි කුමාරි
Clarence Wijewardena,Old Pops,K.D.K.Dharmawardhana,Milton Mallawarachchi,,Mata Men Ohutada – මට මෙන් ඔහුටද
Clarence Wijewardena,Old Pops,Premakeerthi De Alwis,Milton Mallawarachchi,,Maga Thotadee – මග තොටදී
Patrick Denipitya,Old Pops,Premakeerthi De Alwis,Milton Mallawarachchi,,Ma Nisa Oba – මා නිසා ඔබ
Sarath Dasanayaka,Duets,Ajantha Ranasinghe,Milton Mallawarachchi,,Keena Dan Mitak – කීන දන් මිටක්
Patrick Denipitya,Old Pops,K.D.K.Dharmawardhana,Milton Mallawarachchi,,Ma ha Eda – මා හා එදා
Victor Rathnayaka,Old Pops,Karunarathna Abeysekara,Milton Mallawarachchi,,Ma Neth Kedelle – මා නෙත් කැදැල්ලේ
Mohommad Sali,Old Pops,Karunarathna Abeysekara,Milton Mallawarachchi,,Sansara Sewanella – සංසාරෙ සෙවනැල්ල
Clarence Wijewardena,New Pop,Clarence Wijewardena,Milton Mallawarachchi,,Ma ha Senehasa Pala – මා හා සෙනෙහස
Clarence Wijewardena,Old Pops,K.D.K.Dharmawardhana,Milton Mallawarachchi,,Kese Kiyannada – කෙසේ කියන්නද
Clarence Wijewardena,Old Pops,Kularathna Ariyawansa,Milton Mallawarachchi,,Sanden Eha – සඳෙන් එහා
Clarence Wijewardena,New Pop,Unknown,Milton Mallawarachchi,,Sandawe Ran Wala – සැන්දෑවේ රන් වලා
Clarence Wijewardena,Old Pops,Clarence Wijewardena,Milton Mallawarachchi,,Sandalu Thale Oba – සඳළුතලේ ඔබ
Clarence Wijewardena,Golden Pop,Kularathna Ariyawansa,Milton Mallawarachchi,,Sadee Ran Abaranin – සැදී රන් අබරණින්
Clarence Wijewardena,Duets,Kularathna Ariyawansa,Angelin Gunathilaka,,Sanda Thaniwela – සඳ තනිවෙලා
Patrick Denipitya,Duets,Premakeerthi De Alwis,Indrani Perera,,Samanala Ranak – සමනල රෑනක්
Patrick Denipitya,Old Pops,Premakeerthi De Alwis,Milton Mallawarachchi,,Reyak Upadda – රැයක් උපද්දා
Ernest Zoysa,Old Pops,Kularathna Ariyawansa,Milton Mallawarachchi,,Rane Igilenna One – රෑනේ ඉගිලෙන්න
Victor Rathnayaka,Old Pops,K.D.K.Dharmawardhana,Milton Mallawarachchi,,Ranabara Indudunu – රණඹර ඉඳු දුනු
Patrick Denipitya,Classics,K.D.K.Dharmawardhana,Milton Mallawarachchi,,Ran Ethano – රන් එතනෝ
Stanley Pieris,Old Pops,Ajantha Ranasinghe,Milton Mallawarachchi,,Rae Weela Ai – රෑ වීලා ඇයි මේ උදේ
M.K.Roksami,Old Pops,Siri Kularathna,Milton Mallawarachchi,,Piyapath Salaa – පියාපත් සලා
Victor Rathnayaka,Old Pops,K.D.K.Dharmawardhana,Milton Mallawarachchi,,Peradeela Pala Giye – පැරදීලා පලා ගියේ
Sarath Dasanayaka,Old Pops,Upali Dhanawalawithana,Milton Mallawarachchi,,Pera Eka Dawasaka – පෙර එක දවසක
M.K.Roksami,Golden Pop,Karunarathna Abeysekara,Milton Mallawarachchi,,Paya A Sanda – පායා ආ සඳ
Sarath Dasanayaka,Old Pops,Lushan Bulathsinhala,Milton Mallawarachchi,,Pani Kurullane – පැණි කුරුල්ලනේ
